"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input_globalindex","Input_lemma","Input_lemmaindex","Input_lleftcontext","Input_lheadword","Input_lrightcontext","Input_gs_expert","Answer_Category","Approve","Reject"
"2ZIOUQIHPCGJP4P06IN51H0KKEX06K","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:41 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:41 GMT 2013","","","22EEZZ2MIKMNWLVORDU8XWWZRMQ7O9","A31YZ8JR422KFR","Approved","Thu Feb 28 15:13:13 GMT 2013","Thu Feb 28 15:13:17 GMT 2013","Tue Mar 05 07:13:17 PST 2013","Fri Mar 01 09:58:38 PST 2013","","","4","100% (14/14)","100% (14/14)","100% (14/14)","395","deer","47","The hunters reported that","deer","ran straight for miles until they lost their pursuers .","YES","ANIM"
"2ZIOUQIHPCGJP4P06IN51H0KKEX06K","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:41 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:41 GMT 2013","","","2BQ7QEOZFYQSO3FS436XVDS6RVVGJY","A1VSU8AMV3QFI1","Approved","Thu Feb 28 14:47:46 GMT 2013","Thu Feb 28 14:47:51 GMT 2013","Tue Mar 05 06:47:51 PST 2013","Fri Mar 01 09:58:39 PST 2013","","","5","100% (11/11)","100% (12/12)","100% (12/12)","395","deer","47","The hunters reported that","deer","ran straight for miles until they lost their pursuers .","YES","ANIM"
"2ZIOUQIHPCGJP4P06IN51H0KKEX06K","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:41 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:41 GMT 2013","","","2DFAB6BFMFFOLP5SJ8AFHGEULJKJWZ","A3CCO4SVP8T75H","Approved","Thu Feb 28 14:40:38 GMT 2013","Thu Feb 28 14:40:42 GMT 2013","Tue Mar 05 06:40:42 PST 2013","Fri Mar 01 09:58:39 PST 2013","","","4","100% (74/74)","100% (14/14)","100% (14/14)","395","deer","47","The hunters reported that","deer","ran straight for miles until they lost their pursuers .","YES","ANIM"
"2ZIOUQIHPCGJP4P06IN51H0KKEX06K","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:41 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:41 GMT 2013","","","2DO5XH0JPPSIPBLD70JPB5KNVPUMGC","A356EVHB3TU90R","Approved","Thu Feb 28 15:12:55 GMT 2013","Thu Feb 28 15:12:58 GMT 2013","Tue Mar 05 07:12:58 PST 2013","Fri Mar 01 09:58:39 PST 2013","","","3","100% (15/15)","100% (4/4)","100% (4/4)","395","deer","47","The hunters reported that","deer","ran straight for miles until they lost their pursuers .","YES","ANIM"
"2ZIOUQIHPCGJP4P06IN51H0KKEX06K","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:41 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:41 GMT 2013","","","2GZD1X3V0FK0ZF711TSMBPKMI4MELI","A3UX2FXA3NMJCS","Approved","Thu Feb 28 14:56:00 GMT 2013","Thu Feb 28 14:57:14 GMT 2013","Tue Mar 05 06:57:14 PST 2013","Fri Mar 01 09:58:39 PST 2013","","","74","100% (32/32)","100% (1/1)","100% (1/1)","395","deer","47","The hunters reported that","deer","ran straight for miles until they lost their pursuers .","YES","ANIM"
"25KGMMEGOOGQF3950P12WEIVPJ5BB2","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:46 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:46 GMT 2013","","","211Y8TNKIMZS9W7EZ7TOQ0PI4Z3AXC","A1VSU8AMV3QFI1","Approved","Thu Feb 28 15:22:06 GMT 2013","Thu Feb 28 15:22:15 GMT 2013","Tue Mar 05 07:22:15 PST 2013","Fri Mar 01 09:58:38 PST 2013","","","9","100% (11/11)","100% (12/12)","100% (12/12)","195","snail","13","Doctors are seeking superstrong&#44nonaddictive painkillers and may have found them in substances extracted from certain","snails","and frogs .","YES","ANIM"
"25KGMMEGOOGQF3950P12WEIVPJ5BB2","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:46 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:46 GMT 2013","","","27P2Q45UUKQOL7AHEGESCOG2AJ6CUL","A2ZBYVQLDUZOV7","Approved","Thu Feb 28 15:20:51 GMT 2013","Thu Feb 28 15:21:01 GMT 2013","Tue Mar 05 07:21:01 PST 2013","Fri Mar 01 09:58:38 PST 2013","","","10","100% (3/3)","100% (3/3)","100% (3/3)","195","snail","13","Doctors are seeking superstrong&#44nonaddictive painkillers and may have found them in substances extracted from certain","snails","and frogs .","YES","ANIM"
"25KGMMEGOOGQF3950P12WEIVPJ5BB2","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:46 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:46 GMT 2013","","","2HIEOZFYQS1CFK9NXCIDW4IEAXXILZ","A1KAXCLAH6UVMS","Approved","Thu Feb 28 15:25:16 GMT 2013","Thu Feb 28 15:25:21 GMT 2013","Tue Mar 05 07:25:21 PST 2013","Fri Mar 01 09:58:38 PST 2013","","","5","100% (515/515)","100% (8/8)","100% (8/8)","195","snail","13","Doctors are seeking superstrong&#44nonaddictive painkillers and may have found them in substances extracted from certain","snails","and frogs .","YES","ANIM"
"25KGMMEGOOGQF3950P12WEIVPJ5BB2","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:46 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:46 GMT 2013","","","2VHHIT3HVWAV79T15YH25721ISPDLS","A31YZ8JR422KFR","Approved","Thu Feb 28 15:13:46 GMT 2013","Thu Feb 28 15:13:54 GMT 2013","Tue Mar 05 07:13:54 PST 2013","Fri Mar 01 09:58:39 PST 2013","","","8","100% (14/14)","100% (14/14)","100% (14/14)","195","snail","13","Doctors are seeking superstrong&#44nonaddictive painkillers and may have found them in substances extracted from certain","snails","and frogs .","YES","ANIM"
"25KGMMEGOOGQF3950P12WEIVPJ5BB2","28C85OZIZEHMX1CL63H5IWPXLLBBZ4","Animal or meat?","Recognize whether the name of an animal, like for instance chicken, means the living animal or its meat","categorization, named entity recognition, regular polysemy, animal, meat, word sense disambiguation","$0.05","Thu Feb 28 13:45:46 GMT 2013","5","BatchId:1052248;","14400","432000","Thu Mar 07 13:45:46 GMT 2013","","","2XXF3Q0JG5TY9EZVGQV9J9SU10WIEC","A1VKHE5L6QVFUV","Approved","Thu Feb 28 15:24:25 GMT 2013","Thu Feb 28 15:24:31 GMT 2013","Tue Mar 05 07:24:31 PST 2013","Fri Mar 01 09:58:39 PST 2013","","","6","100% (10/10)","100% (10/10)","100% (10/10)","195","snail","13","Doctors are seeking superstrong&#44nonaddictive painkillers and may have found them in substances extracted from certain","snails","and frogs .","YES","ANIM"
